fighter,fight_url,event_date,career_fights_before,career_wins,career_losses,career_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,career_win_by_ko,career_win_by_sub,career_win_by_dec,avg_scorecard_margin,career_avg_kd,career_avg_sig_str_landed,career_avg_sig_str_att,career_avg_sig_str_pct,career_avg_total_str_landed,career_avg_total_str_att,career_avg_td_landed,career_avg_td_att,career_avg_td_pct,career_avg_sub_att,career_avg_reversals,career_avg_ctrl_seconds,career_avg_head_landed,career_avg_head_att,career_avg_body_landed,career_avg_body_att,career_avg_leg_landed,career_avg_leg_att,career_avg_distance_landed,career_avg_distance_att,career_avg_clinch_landed,career_avg_clinch_att,career_avg_ground_landed,career_avg_ground_att,weight_class,std_career_avg_kd,std_career_avg_sig_str_landed,std_career_avg_sig_str_att,std_career_avg_sig_str_pct,std_career_avg_total_str_landed,std_career_avg_total_str_att,std_career_avg_td_landed,std_career_avg_td_att,std_career_avg_td_pct,std_career_avg_sub_att,std_career_avg_reversals,std_career_avg_ctrl_seconds,std_career_avg_head_landed,std_career_avg_head_att,std_career_avg_body_landed,std_career_avg_body_att,std_career_avg_leg_landed,std_career_avg_leg_att,std_career_avg_distance_landed,std_career_avg_distance_att,std_career_avg_clinch_landed,std_career_avg_clinch_att,std_career_avg_ground_landed,std_career_avg_ground_att,career_style,height_cms,reach_cms,age,fighter_rank_wc,fighter_rank_pfp
Anthony Hernandez,http://www.ufcstats.com/fight-details/7c6ed5b3d830d0cb,2022-04-09,4,2,2,0,1,0,1,0,2,0,,0.0,15.75,33.75,0.3775,18.25,37.0,0.75,1.0,0.75,0.25,0.0,47.25,13.0,30.75,2.0,2.25,0.75,0.75,12.5,28.5,3.25,5.25,0.0,0.0,Middleweight,-0.8140362840259088,0.09093613310760658,0.17259403644268795,-1.2510477358593217,-0.36847315641959033,-0.11600902246068888,0.6897278332943366,-0.10459986206190171,0.9639419003920194,0.34474084468693,-0.440292769467851,-0.08684740331032487,0.812973640027934,0.684556511574482,-0.5143930463652626,-0.7692243320151358,-0.9337418333022686,-0.9780335215027481,0.31630208990212255,0.25701847323174454,0.7879026497267942,1.1616912774456263,-0.9769562559095828,-0.9851580978566096,BJJ,182.88,190.5,28.47,15.0,
Anthony Hernandez,http://www.ufcstats.com/fight-details/ce5ebaf8caf8c4a7,2022-09-17,5,3,2,0,2,0,2,0,2,1,7.0,0.0,16.0,33.2,0.41,19.8,38.4,1.4,1.8,0.775,0.4,0.0,88.2,13.0,30.0,2.2,2.4,0.8,0.8,11.4,26.2,3.4,5.8,1.2,1.2,Middleweight,-0.8140362840259088,0.1371844064549646,0.12258193694054628,-0.8830159686350064,-0.15359119167354895,0.0006305734328063266,2.2181878180092447,0.6667700049196655,1.0549931774265684,0.9683482274437989,-0.440292769467851,0.9759532668953423,0.812973640027934,0.6047119119230098,-0.4174143502385122,-0.715301116366024,-0.9080656886322243,-0.957592719556597,0.10620233401185541,0.04944842530832632,0.8846310172264401,1.4262864554854908,-0.4856729983237427,-0.6337958205485373,BJJ,182.88,190.5,28.91,15.0,
Anthony Hernandez,http://www.ufcstats.com/fight-details/3638ee66c7d34fe0,2023-05-20,6,4,2,0,3,0,3,0,3,1,7.0,0.0,16.5,33.333333333333336,0.4333333333333333,20.666666666666668,39.0,1.6666666666666667,2.8333333333333335,0.64,0.3333333333333333,0.0,104.16666666666667,13.333333333333334,30.0,2.5,2.6666666666666665,0.6666666666666666,0.6666666666666666,11.333333333333334,25.666666666666668,3.6666666666666665,6.166666666666667,1.5,1.5,Middleweight,-0.8140362840259088,0.22968095314968062,0.13470608227439884,-0.6187880331919082,-0.033442136116622584,0.05061897167287587,2.845248324558951,1.6631227497708567,0.563316281440005,0.6911893906629681,-0.440292769467851,1.3903460394053258,0.8933695638102517,0.6047119119230098,-0.2719463060483867,-0.6194376218787141,-0.9765354077523424,-1.0121015247463336,0.09346901547305138,0.0013162402826063402,1.0565925594480328,1.6026832408454008,-0.3628521839272827,-0.5459552512215193,BJJ,182.88,190.5,29.59,15.0,
Anthony Hernandez,http://www.ufcstats.com/fight-details/f87a3fa07f0009c9,2024-02-17,7,5,2,0,4,0,4,1,3,1,7.0,0.0,16.285714285714285,32.42857142857143,0.4499999999999999,20.142857142857142,37.714285714285715,1.7142857142857142,3.5714285714285716,0.5425,0.5714285714285714,0.0,110.57142857142857,13.285714285714286,29.142857142857142,2.2857142857142856,2.4285714285714284,0.7142857142857143,0.8571428571428571,10.714285714285714,24.714285714285715,4.0,6.142857142857143,1.5714285714285714,1.5714285714285714,Middleweight,-0.8140362840259088,0.19003957599480215,0.05243509608039912,-0.4300537935896957,-0.10605969716751235,-0.05649902455584425,2.957223415014255,2.374803281807422,0.20821630100526473,1.6810423791659344,-0.440292769467851,1.5565727853122528,0.8818844318413492,0.5134609408927556,-0.3758520518984765,-0.7050300276709551,-0.9520819366380143,-0.9342318030467098,-0.024768942387272425,-0.08463409012046537,1.2715444872250237,1.5912289041337184,-0.33360913288050653,-0.5250408299531818,BJJ,182.88,190.5,30.33,15.0,
Anthony Hernandez,http://www.ufcstats.com/fight-details/a2f2c64f9fb3fb1c,2024-10-19,8,6,2,0,5,0,5,1,4,1,7.0,0.0,16.75,33.625,0.4525,20.5,38.625,1.625,4.5,0.45199999999999996,0.5,0.0,112.375,13.625,29.875,2.375,2.75,0.75,1.0,11.0,26.0,4.25,6.125,1.5,1.5,Middleweight,-0.8140362840259088,0.27592922649703866,0.16122765019220114,-0.40174365764936243,-0.05654772372372396,0.01937622277283248,2.747270120410559,3.270143305982455,-0.12138932185980189,1.3840864826150447,-0.440292769467851,1.6033819897823265,0.9637159971197794,0.5914044786477644,-0.3325579911276057,-0.5894802798514296,-0.9337418333022686,-0.8758295117719921,0.029802422779030897,0.03139885592368133,1.432758433057767,1.5826381515999566,-0.3628521839272827,-0.5459552512215193,BJJ,182.88,190.5,31.0,13.0,
Anthony Hernandez,http://www.ufcstats.com/fight-details/0cdca4c22b8d3ab5,2025-02-22,9,7,2,0,6,0,6,2,4,1,7.0,0.0,17.88888888888889,35.666666666666664,0.4588888888888889,21.555555555555557,40.44444444444444,1.5555555555555556,4.888888888888889,0.39666666666666667,0.4444444444444444,0.0,109.33333333333333,14.333333333333334,31.22222222222222,2.6666666666666665,3.2222222222222223,0.8888888888888888,1.2222222222222223,11.666666666666666,27.555555555555557,4.222222222222222,6.0,2.0,2.111111111111111,Middleweight,-0.8140362840259088,0.48661580507944746,0.34687862561681865,-0.32939553246851405,0.08978766445458393,0.17096141188045028,2.5839731134965733,3.645114769098495,-0.3229161483629363,1.1531207852976857,-0.440292769467851,1.5244397340588691,1.1345573351572045,0.7348290372809645,-0.19113072594276148,-0.41972200836348483,-0.8624192092188123,-0.7849815031224311,0.15713560816707153,0.1717843955820319,1.4148457724096843,1.5225028838636236,-0.1581508265998494,-0.3670207581479641,BJJ,182.88,190.5,31.35,12.0,
Anthony Hernandez,http://www.ufcstats.com/fight-details/68fe62bac7fd8bb0,2025-08-09,10,8,2,0,7,0,7,2,4,2,5.0,0.0,16.4,32.6,0.473,20.4,37.7,1.5,4.6,0.4114285714285714,0.4,0.0,112.7,13.2,28.6,2.4,2.9,0.8,1.1,10.5,25.0,3.8,5.4,2.1,2.2,Middleweight,-0.8140362840259088,0.21118164381073715,0.06802328293820953,-0.16960054293864066,-0.07041107628798489,-0.057689224513940984,2.4533355079653845,3.3665645393551507,-0.26915253716158377,0.9683482274437989,-0.440292769467851,1.6118169157363398,0.8612111942973244,0.4556686592402616,-0.32043565411176195,-0.5355570642023179,-0.9080656886322243,-0.8349479078796896,-0.06569746626199965,-0.05884899099954395,1.142573330558829,1.233853598729226,-0.11721055513436267,-0.34099392279181057,BJJ,182.88,190.5,31.81,10.0,
Anthony Hernandez,http://www.ufcstats.com/fight-details/8d740c844353ae0e,2026-02-21,11,9,2,0,8,0,8,2,5,2,5.0,0.0,16.636363636363637,33.0,0.4763636363636363,20.454545454545453,37.81818181818182,1.5454545454545454,4.545454545454546,0.4225,0.36363636363636365,0.0,107.0,13.0,28.636363636363637,2.272727272727273,2.727272727272727,1.3636363636363635,1.6363636363636365,11.0,25.818181818181817,3.727272727272727,5.181818181818182,1.9090909090909092,2.0,Middleweight,-0.8140362840259088,0.25490728406642144,0.10439571893976715,-0.1315105418552851,-0.06284924761656992,-0.04784302486059405,2.5602208215818116,3.313971139333681,-0.22882982876056931,0.8171706801088003,-0.440292769467851,1.4638812913121075,0.812973640027934,0.4595399125566965,-0.3821493698287848,-0.5976504640406891,-0.6186255123517257,-0.6156738506391585,0.029802422779030897,0.014990156483094767,1.0956747281347583,1.1288902223167174,-0.19536925520483722,-0.399554302343156,BJJ,182.88,190.5,32.34,4.0,
Anthony Ivy,http://www.ufcstats.com/fight-details/58e72b1a38880ba9,2020-06-13,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Welterweight,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,187.96,187.96,30.39,,
Anthony Ivy,http://www.ufcstats.com/fight-details/463fc1fd1f17befb,2020-09-12,1,0,1,0,0,1,0,0,0,0,,0.0,4.0,11.0,0.36,4.0,11.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,4.0,4.0,11.0,0.0,0.0,0.0,0.0,Welterweight,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,187.96,187.96,30.64,,
