event_name,event_date,result_date,fighter_a,fighter_b,fighter,matchup,prop_type,prop_label,model_prob,market_implied_prob,market_edge,bet_size,won,total_return,net,profit_multiplier
UFC Fight Night: Fiziev vs. Torres,2026-06-27,2026-06-28,Rafael Fiziev,Manuel Torres,Manuel Torres,Rafael Fiziev vs Manuel Torres,fighter_b_dec,Manuel Torres wins by Decision,0.3343,0.0667,0.2676,1.75,,1.75,0.0,1.0
UFC Fight Night: Fiziev vs. Torres,2026-06-27,2026-06-28,Rafael Fiziev,Manuel Torres,Rafael Fiziev,Rafael Fiziev vs Manuel Torres,fight_goes_distance,Fight Goes to Decision,0.5074,0.2222,0.2852,1.6,,1.6,0.0,1.0
UFC Fight Night: Fiziev vs. Torres,2026-06-27,2026-06-28,Nazim Sadykhov,Matheus Camilo,Matheus Camilo,Nazim Sadykhov vs Matheus Camilo,fighter_b_dec,Matheus Camilo wins by Decision,0.3267,0.1538,0.1729,1.68,,1.68,0.0,1.0
UFC Fight Night: Fiziev vs. Torres,2026-06-27,2026-06-28,Abus Magomedov,Michal Oleksiejczuk,Abus Magomedov,Abus Magomedov vs Michal Oleksiejczuk,fighter_a_dec,Abus Magomedov wins by Decision,0.2883,0.1111,0.1772,1.72,,1.72,0.0,1.0
UFC 329: McGregor vs. Holloway 2,2026-07-11,2026-07-12,Conor McGregor,Max Holloway,Conor McGregor,Conor McGregor vs Max Holloway,fighter_a_dec,Conor McGregor wins by Decision,0.298,0.0833,0.2147,1.75,,1.75,0.0,1.0
UFC 329: McGregor vs. Holloway 2,2026-07-11,2026-07-12,King Green,Terrance McKinney,King Green,King Green vs Terrance McKinney,fighter_a_dec,King Green wins by Decision,0.2447,0.0476,0.1971,1.77,,1.77,0.0,1.0
UFC 329: McGregor vs. Holloway 2,2026-07-11,2026-07-12,King Green,Terrance McKinney,Terrance McKinney,King Green vs Terrance McKinney,fighter_b_dec,Terrance McKinney wins by Decision,0.2526,0.0323,0.2203,1.79,,1.79,0.0,1.0
UFC 329: McGregor vs. Holloway 2,2026-07-11,2026-07-12,King Green,Terrance McKinney,King Green,King Green vs Terrance McKinney,fight_goes_distance,Fight Goes to Decision,0.4973,0.0909,0.4064,1.62,,1.62,0.0,1.0
UFC Fight Night: Du Plessis vs. Usman,2026-07-18,2026-07-19,Tabatha Ricci,Fatima Kline,Tabatha Ricci,Tabatha Ricci vs Fatima Kline,fighter_a_ko,Tabatha Ricci wins by KO/TKO,0.158,0.0476,0.1104,1.71,,1.71,0.0,1.0
UFC Fight Night: Du Plessis vs. Usman,2026-07-18,2026-07-19,Alden Coria,Stewart Nicoll,Stewart Nicoll,Alden Coria vs Stewart Nicoll,fighter_b_dec,Stewart Nicoll wins by Decision,0.2823,0.0625,0.2198,1.77,,1.77,0.0,1.0
UFC Fight Night: Du Plessis vs. Usman,2026-07-18,2026-07-19,Alden Coria,Stewart Nicoll,Alden Coria,Alden Coria vs Stewart Nicoll,fight_goes_distance,Fight Goes to Decision,0.556,0.3279,0.2281,1.6,,1.6,0.0,1.0
UFC Fight Night: Ankalaev vs. Guskov,2026-07-25,2026-07-26,Magomed Ankalaev,Bogdan Guskov,Bogdan Guskov,Magomed Ankalaev vs Bogdan Guskov,fighter_b_ko,Bogdan Guskov wins by KO/TKO,0.2571,0.1176,0.1395,1.7,,1.7,0.0,1.0
UFC Fight Night: Ankalaev vs. Guskov,2026-07-25,2026-07-26,Magomed Ankalaev,Bogdan Guskov,Bogdan Guskov,Magomed Ankalaev vs Bogdan Guskov,fighter_b_dec,Bogdan Guskov wins by Decision,0.1849,0.0588,0.1261,1.72,,1.72,0.0,1.0
UFC Fight Night: Ankalaev vs. Guskov,2026-07-25,2026-07-26,Santiago Ponzinibbio,Sam Patterson,Sam Patterson,Santiago Ponzinibbio vs Sam Patterson,fighter_b_dec,Sam Patterson wins by Decision,0.298,0.1724,0.1256,1.66,,1.66,0.0,1.0
UFC Fight Night: Ankalaev vs. Guskov,2026-07-25,2026-07-26,Santiago Ponzinibbio,Sam Patterson,Santiago Ponzinibbio,Santiago Ponzinibbio vs Sam Patterson,fight_goes_distance,Fight Goes to Decision,0.5065,0.2703,0.2362,1.58,,1.58,0.0,1.0
UFC Fight Night: Medic vs. Rodriguez,2026-08-01,2026-08-02,Uros Medic,Daniel Rodriguez,Uros Medic,Uros Medic vs Daniel Rodriguez,fighter_a_dec,Uros Medic wins by Decision,0.263,0.0526,0.2104,1.77,,1.77,0.0,1.0
UFC Fight Night: Medic vs. Rodriguez,2026-08-01,2026-08-02,Uros Medic,Daniel Rodriguez,Daniel Rodriguez,Uros Medic vs Daniel Rodriguez,fighter_b_dec,Daniel Rodriguez wins by Decision,0.2443,0.0385,0.2058,1.78,,1.78,0.0,1.0
UFC Fight Night: Medic vs. Rodriguez,2026-08-01,2026-08-02,Uros Medic,Daniel Rodriguez,Uros Medic,Uros Medic vs Daniel Rodriguez,fight_goes_distance,Fight Goes to Decision,0.5073,0.0962,0.4111,1.62,,1.62,0.0,1.0
UFC Fight Night: Medic vs. Rodriguez,2026-08-01,2026-08-02,Mateusz Rebecki,Kyle Prepolec,Kyle Prepolec,Mateusz Rebecki vs Kyle Prepolec,fighter_b_dec,Kyle Prepolec wins by Decision,0.2008,0.0769,0.1239,1.71,,1.71,0.0,1.0
UFC Fight Night: Gamrot vs. Salkilld,2026-08-08,2026-08-09,Diego Ferreira,Billy Quarantillo,Billy Quarantillo,Diego Ferreira vs Billy Quarantillo,fighter_b_dec,Billy Quarantillo wins by Decision,0.2469,0.125,0.1219,1.68,,1.68,0.0,1.0
UFC Fight Night: Gamrot vs. Salkilld,2026-08-08,2026-08-09,Darren Elkins,Yadier del Valle,Darren Elkins,Darren Elkins vs Yadier del Valle,fighter_a_dec,Darren Elkins wins by Decision,0.2368,0.0769,0.1599,1.74,,1.74,0.0,1.0
UFC Fight Night: Gamrot vs. Salkilld,2026-08-08,2026-08-09,Darren Elkins,Yadier del Valle,Darren Elkins,Darren Elkins vs Yadier del Valle,fight_goes_distance,Fight Goes to Decision,0.5257,0.2632,0.2625,1.59,,1.59,0.0,1.0
UFC Fight Night: Gamrot vs. Salkilld,2026-08-08,2026-08-09,Juliana Miller,Ravena Oliveira,Juliana Miller,Juliana Miller vs Ravena Oliveira,fighter_a_ko,Juliana Miller wins by KO/TKO,0.2657,0.1053,0.1604,1.72,,1.72,0.0,1.0
